Date,Symbol,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,M.Y
2008-01-01,MUNDRAPORT,1279.0,1319.0,1263.7,1308.0,1296.85,1285.72,491348,63173500000000.0,172911,Jan-08
2008-02-01,MUNDRAPORT,1310.25,1324.0,1270.0,1300.15,1307.45,1302.15,703815,91647300000000.0,221397,Jan-08
2008-03-01,MUNDRAPORT,1305.0,1314.7,1261.15,1267.15,1275.8,1289.24,505058,65114300000000.0,217437,Jan-08
2008-04-01,MUNDRAPORT,1278.8,1294.8,1233.0,1239.9,1240.35,1256.03,550795,69181700000000.0,230237,Jan-08
2008-07-01,MUNDRAPORT,1240.0,1278.9,1215.0,1233.0,1227.25,1244.76,630963,78539800000000.0,239404,Jan-08
2008-08-01,MUNDRAPORT,1240.0,1255.0,1185.0,1202.0,1204.8,1217.08,530499,64566000000000.0,228866,Jan-08
2008-09-01,MUNDRAPORT,1200.0,1210.0,1151.0,1181.0,1180.25,1176.37,627507,73818300000000.0,259280,Jan-08
2008-10-01,MUNDRAPORT,1185.0,1199.8,1110.0,1118.0,1121.55,1156.44,438806,50745200000000.0,200150,Jan-08
2008-11-01,MUNDRAPORT,1128.0,1130.0,1063.0,1096.0,1085.85,1087.78,616938,67109300000000.0,312121,Jan-08
2008-01-14,MUNDRAPORT,1082.4,1082.4,1031.1,1035.0,1035.15,1042.4,835916,87135700000000.0,570824,Jan-08
2008-01-15,MUNDRAPORT,1045.6,1078.7,1036.05,1057.0,1049.55,1050.69,830493,87259300000000.0,504259,Jan-08
2008-01-16,MUNDRAPORT,1046.0,1064.0,1000.0,1038.3,1030.4,1032.86,816188,84300600000000.0,478517,Jan-08
2008-01-17,MUNDRAPORT,1050.0,1053.5,1011.0,1014.95,1020.9,1033.73,336003,34733500000000.0,145194,Jan-08
2008-01-18,MUNDRAPORT,1010.0,1072.0,974.9,995.0,994.6,1022.57,676854,69213300000000.0,278615,Jan-08
2008-01-21,MUNDRAPORT,995.0,1005.0,795.7,853.0,825.05,880.77,788623,69459900000000.0,474223,Jan-08
2008-01-22,MUNDRAPORT,700.0,810.0,660.05,739.0,735.55,703.2,546161,38406100000000.0,376194,Jan-08
2008-01-23,MUNDRAPORT,760.0,881.9,760.0,862.2,857.0,818.67,535462,43836500000000.0,283881,Jan-08
2008-01-24,MUNDRAPORT,875.0,935.0,812.0,814.7,814.15,854.83,511017,43683300000000.0,258346,Jan-08
2008-01-25,MUNDRAPORT,820.0,883.0,820.0,866.0,865.7,858.33,404045,34680300000000.0,178177,Jan-08
2008-01-28,MUNDRAPORT,835.0,835.0,783.2,822.0,820.8,804.38,467052,37568600000000.0,241365,Jan-08
2008-01-29,MUNDRAPORT,840.0,860.0,820.05,840.0,840.75,841.27,220070,18513800000000.0,74141,Jan-08
2008-01-30,MUNDRAPORT,849.8,864.0,822.25,834.0,830.45,833.82,286190,23863100000000.0,165926,Jan-08
2008-01-31,MUNDRAPORT,831.0,849.9,812.55,836.6,837.65,833.58,194300,16196600000000.0,103890,Jan-08
2008-01-02,MUNDRAPORT,831.65,852.3,820.0,826.0,825.35,828.09,204391,16925500000000.0,115715,Feb-08
2008-04-02,MUNDRAPORT,847.9,872.4,840.0,859.0,856.1,858.77,280230,24065200000000.0,128195,Feb-08
2008-05-02,MUNDRAPORT,856.0,857.0,830.0,834.65,834.3,842.06,162093,13649200000000.0,96153,Feb-08
2008-06-02,MUNDRAPORT,803.0,824.9,780.0,809.0,807.5,810.5,193260,15663800000000.0,110565,Feb-08
2008-07-02,MUNDRAPORT,825.0,830.0,792.0,795.9,796.25,809.53,212932,17237600000000.0,106275,Feb-08
2008-08-02,MUNDRAPORT,810.0,830.0,765.15,786.0,784.05,781.48,285025,22274300000000.0,154857,Feb-08
2008-11-02,MUNDRAPORT,785.0,785.0,695.0,699.0,711.2,736.23,223955,16488300000000.0,118002,Feb-08
2008-12-02,MUNDRAPORT,725.0,734.95,655.6,689.0,681.3,681.38,303409,20673600000000.0,187180,Feb-08
2008-02-13,MUNDRAPORT,815.9,815.9,664.0,678.0,670.95,681.68,214900,14649200000000.0,108761,Feb-08
2008-02-14,MUNDRAPORT,680.0,714.0,680.0,710.0,709.8,704.71,269032,18959000000000.0,148611,Feb-08
2008-02-15,MUNDRAPORT,700.0,763.7,681.25,729.0,728.75,734.23,353049,25921900000000.0,110621,Feb-08
2008-02-18,MUNDRAPORT,735.0,775.0,735.0,772.0,771.6,762.33,342580,26115900000000.0,154099,Feb-08
2008-02-19,MUNDRAPORT,779.0,786.9,760.2,767.0,763.9,772.24,137412,10611600000000.0,47543,Feb-08
2008-02-20,MUNDRAPORT,750.0,760.0,720.0,740.0,732.1,730.61,197489,14428700000000.0,89397,Feb-08
2008-02-21,MUNDRAPORT,762.0,762.0,730.1,738.9,737.6,741.53,125558,9310470000000.0,37956,Feb-08
2008-02-22,MUNDRAPORT,723.0,737.0,715.0,724.5,724.0,726.52,81070,5889920000000.0,31808,Feb-08
2008-02-25,MUNDRAPORT,725.05,758.9,702.3,707.0,707.65,711.7,152803,10875100000000.0,71403,Feb-08
2008-02-26,MUNDRAPORT,725.0,744.0,713.0,735.0,735.8,733.73,251269,18436400000000.0,53136,Feb-08
2008-02-27,MUNDRAPORT,749.7,783.4,741.0,744.0,746.4,762.47,305320,23279800000000.0,84490,Feb-08
2008-02-28,MUNDRAPORT,740.0,754.9,725.05,740.0,737.75,738.91,112491,8312090000000.0,36730,Feb-08
2008-02-29,MUNDRAPORT,738.0,761.0,725.4,730.0,735.65,742.88,203872,15145200000000.0,65460,Feb-08
2008-03-03,MUNDRAPORT,725.0,725.0,692.3,698.1,699.25,709.31,182510,12945700000000.0,101025,Mar-08
2008-04-03,MUNDRAPORT,705.0,708.95,642.0,671.05,669.25,663.93,400996,26623300000000.0,196398,Mar-08
2008-05-03,MUNDRAPORT,668.0,672.0,636.0,638.0,640.9,649.58,263263,17100900000000.0,147818,Mar-08
2008-07-03,MUNDRAPORT,630.0,630.0,577.0,608.0,609.75,595.79,452949,26986100000000.0,265748,Mar-08
